Favorite Color,Favorite Beverage,Gender
0,3,F
1,3,F
2,5,F
2,4,F
0,3,F
2,1,F
0,0,F
2,4,F
2,2,F
1,5,F
0,2,F
2,2,F
2,5,F
2,5,F
0,0,F
2,5,F
0,5,F
0,2,F
0,2,F
0,1,F
0,0,F
2,4,F
0,3,F
2,2,F
0,4,F
2,4,F
0,0,F
0,1,F
0,1,F
0,1,F
2,2,F
1,0,F
0,0,F
2,5,M
1,0,M
2,2,M
1,1,M
0,2,M
0,4,M
2,3,M
0,3,M
1,1,M
2,1,M
0,5,M
0,0,M
0,0,M
0,5,M
0,4,M
0,1,M
2,0,M
0,1,M
0,1,M
0,1,M
2,0,M
0,1,M
0,2,M
2,2,M
2,3,M
2,3,M
0,4,M
0,4,M
0,3,M
0,0,M
1,1,M
0,5,M
0,0,M
